2026-09-04 08:03:21 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3700/4000 train images
2026-09-04 08:03:24 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3750/4000 train images
2026-09-04 08:03:26 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3800/4000 train images
2026-09-04 08:03:28 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3850/4000 train images
2026-09-04 08:03:30 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3900/4000 train images
2026-09-04 08:03:32 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3950/4000 train images
2026-09-04 08:03:35 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 4000/4000 train images
2026-09-04 08:03:36 | INFO     | __main__:ensure_teacher_cache:156 | Cached teacher pseudo-labels to /scratch/rpachgha/aecs-sdc/results/tier1b/teacher_pseudo_labels.json
2026-09-04 08:03:36 | INFO     | __main__:ensure_student_cache:176 | Running YOLOv8n ONNX student on TRAIN_POOL
2026-09-04 08:03:38 | INFO     | aecs_sdc.student:_load:53 | Loading student model from /scratch/rpachgha/aecs-sdc/models/yolov8n.onnx
2026-09-04 08:03:38 | INFO     | aecs_sdc.student:_load:57 | Student loaded; providers=['AzureExecutionProvider', 'CPUExecutionProvider']
2026-09-04 08:04:13 | INFO     | __main__:ensure_student_cache:192 | Student predicted 50/4000 train images
2026-09-04 08:04:45 | INFO     | __main__:ensure_student_cache:192 | Student predicted 100/4000 train images
2026-09-04 08:05:18 | INFO     | __main__:ensure_student_cache:192 | Student predicted 150/4000 train images
2026-09-04 08:05:47 | INFO     | __main__:ensure_student_cache:192 | Student predicted 200/4000 train images
2026-09-04 08:06:18 | INFO     | __main__:ensure_student_cache:192 | Student predicted 250/4000 train images
2026-09-04 08:06:54 | INFO     | __main__:ensure_student_cache:192 | Student predicted 300/4000 train images
2026-09-04 08:07:23 | INFO     | __main__:ensure_student_cache:192 | Student predicted 350/4000 train images
2026-09-04 08:07:57 | INFO     | __main__:ensure_student_cache:192 | Student predicted 400/4000 train images
2026-09-04 08:08:31 | INFO     | __main__:ensure_student_cache:192 | Student predicted 450/4000 train images
2026-09-04 08:09:06 | INFO     | __main__:ensure_student_cache:192 | Student predicted 500/4000 train images
2026-09-04 08:09:41 | INFO     | __main__:ensure_student_cache:192 | Student predicted 550/4000 train images
2026-09-04 08:10:14 | INFO     | __main__:ensure_student_cache:192 | Student predicted 600/4000 train images
2026-09-04 08:10:46 | INFO     | __main__:ensure_student_cache:192 | Student predicted 650/4000 train images
2026-09-04 08:11:20 | INFO     | __main__:ensure_student_cache:192 | Student predicted 700/4000 train images
2026-09-04 08:11:51 | INFO     | __main__:ensure_student_cache:192 | Student predicted 750/4000 train images
2026-09-04 08:12:25 | INFO     | __main__:ensure_student_cache:192 | Student predicted 800/4000 train images
2026-09-04 08:12:49 | INFO     | __main__:ensure_student_cache:192 | Student predicted 850/4000 train images
2026-09-04 08:13:23 | INFO     | __main__:ensure_student_cache:192 | Student predicted 900/4000 train images
2026-09-04 08:13:57 | INFO     | __main__:ensure_student_cache:192 | Student predicted 950/4000 train images
2026-09-04 08:14:32 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1000/4000 train images
2026-09-04 08:15:01 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1050/4000 train images
2026-09-04 08:15:32 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1100/4000 train images
2026-09-04 08:16:04 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1150/4000 train images
2026-09-04 08:16:35 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1200/4000 train images
2026-09-04 08:17:05 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1250/4000 train images
2026-09-04 08:17:37 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1300/4000 train images
2026-09-04 08:18:12 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1350/4000 train images
2026-09-04 08:18:48 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1400/4000 train images
2026-09-04 08:19:20 | INFO     | __main__:ensure_student_cache:192 | Student predicted 1450/4000 train images
